"","TCGA.SS.A7HO.01A","TCGA.D5.6930.01A","TCGA.A6.2684.11A","TCGA.CK.5913.01A","TCGA.AA.3548.01A","TCGA.A6.2671.11A","TCGA.AA.3520.11A","TCGA.D5.5541.01A","TCGA.D5.6538.01A","TCGA.A6.A565.01A","TCGA.A6.2683.11A","TCGA.G4.6586.01A","TCGA.A6.2680.11A","TCGA.AA.3527.11A","TCGA.AA.3525.11A","TCGA.A6.2685.11A","TCGA.AG.3600.01A","TCGA.CI.6624.01C","TCGA.AF.2692.11A","TCGA.AF.2689.11A","TCGA.AG.3881.01A","TCGA.AF.2691.11A"
"hsa-miR-1228-5p",26,1,9,1,4,4,9,1,1,1,7,7,7,9,4,2,3,5,6,9,4,2
"hsa-miR-1229-5p",83,0,4,3,1,5,3,1,0,2,5,11,2,3,2,1,2,4,9,5,3,3
"hsa-miR-1231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-1233-5p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1234-3p",0,1,0,0,0,0,0,0,0,0,2,1,1,0,3,0,0,0,2,1,0,2
"hsa-miR-1236-5p",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-1237-5p",1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,3,2,0,0
"hsa-miR-1238-5p",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"hsa-miR-124-5p",2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"hsa-miR-1243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"hsa-miR-1245a",6,7,0,10,1,0,0,8,0,11,0,4,0,0,0,0,0,14,0,0,1,0
"hsa-miR-1245b-5p",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-1246",1,1,0,1,1,0,0,3,0,0,2,1,0,0,0,0,1,1,0,0,1,0
"hsa-miR-1247-5p",665,191,210,235,63,122,616,471,2911,78,393,112,159,409,188,78,1024,554,368,551,183,239
"hsa-miR-1248",7,3,11,9,2,3,5,9,9,23,9,20,12,11,3,9,10,5,6,4,13,4
"hsa-miR-1249-5p",9,4,9,1,1,9,12,2,3,4,6,5,20,13,13,7,3,11,55,29,4,16
"hsa-miR-1250-5p",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"hsa-miR-1251-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0
"hsa-miR-1252-5p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1254",34,3,2,5,0,4,2,4,18,2,7,0,3,1,4,4,1,4,1,0,0,3
"hsa-miR-1255a",9,0,0,3,0,0,0,0,1,6,0,3,0,0,0,0,1,3,0,0,0,0
"hsa-miR-1255b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1256",2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"hsa-miR-1257",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1258",0,4,0,0,0,0,1,3,1,0,0,1,0,2,0,2,0,1,0,0,2,3
"hsa-miR-125a-5p",2989,1419,3739,498,526,4403,3292,883,1106,2639,5086,1272,4120,2243,3090,3934,190,1779,6804,9585,536,4812
"hsa-miR-125b-5p",424,2076,1112,251,292,1492,1440,1356,525,1415,1354,436,2170,1338,1250,1284,125,1426,2518,3788,770,1547
"hsa-miR-126-5p",14837,5318,179,2974,1787,94,149,3523,2682,28180,147,7112,256,208,196,56,3884,14564,36,114,12175,48
"hsa-miR-1260a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1260b",0,0,0,0,0,2,1,0,0,2,0,0,1,1,1,1,1,0,2,0,0,0
"hsa-miR-1261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1262",22,4,1,1,0,1,0,5,8,5,0,2,2,5,1,1,2,4,2,1,2,1
"hsa-miR-1263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1265",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1266-5p",325,47,48,200,2,40,53,120,238,87,77,187,41,42,103,30,0,90,18,19,8,13
"hsa-miR-1267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1268a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1268b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1269a",2,2,130,2,3,7,47,73,7417,2,658,3,3,286,20,0,0,113,10,36,3,36
"hsa-miR-1269b",346,1,10,0,0,6,0,0,18,4,0,0,6,29,12,0,0,62,0,0,1,3
"hsa-miR-127-5p",1377,3846,2071,2583,728,1591,2203,2435,1004,3562,2170,1772,2021,1605,1789,1527,899,5819,1734,2068,1430,1100
"hsa-miR-1270",3,1,2,27,0,2,4,7,0,7,1,2,2,3,6,0,1,9,6,4,0,6
"hsa-miR-1271-5p",8,7,10,0,9,7,4,4,2,11,6,2,3,9,6,6,7,7,7,19,10,5
"hsa-miR-1272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1273a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1273c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1273d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1273e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1273f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1273g-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1273h-5p",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1275",4,0,3,0,0,1,1,10,4,1,1,0,3,2,1,2,0,0,2,2,1,1
"hsa-miR-1276",4,1,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-1277-5p",12,1,0,2,1,0,0,3,5,9,0,6,0,0,0,0,1,14,0,0,16,0
"hsa-miR-1278",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-128-1-5p",745,409,56,280,54,52,52,377,401,293,89,314,58,60,124,61,97,236,35,90,56,35
"hsa-miR-128-2-5p",636,277,48,167,24,21,21,227,286,202,25,229,20,23,53,30,59,152,19,52,49,24
"hsa-miR-1281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1283",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1284",1,1,0,1,1,0,0,3,0,1,0,2,0,0,0,0,1,2,0,2,0,0
"hsa-miR-1285-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1285-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1286",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1287-5p",116,63,44,87,14,31,23,51,64,80,28,152,39,28,36,25,31,81,29,33,53,27
"hsa-miR-1288-5p",1,1,1,5,1,0,0,5,1,0,0,6,1,1,0,0,0,1,0,1,2,0
"hsa-miR-1289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-129-5p",14,38,47,90,2,103,55,7,17,47,82,3,170,90,68,97,1,9,231,181,12,112
"hsa-miR-1290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1291",6,2,2,1,5,2,1,5,0,2,2,8,5,2,3,0,28,11,1,1,1,1
"hsa-miR-1292-5p",4,0,1,4,0,1,1,2,2,1,3,2,2,4,3,1,1,4,2,6,2,2
"hsa-miR-1293",0,0,1,1,1,0,0,0,2,0,0,3,0,0,1,0,2,1,0,0,1,0
"hsa-miR-1294",5,1,0,1,0,0,0,4,1,1,0,2,0,2,0,0,0,0,0,1,1,0
"hsa-miR-1295a",0,0,3,0,0,1,1,1,1,1,3,1,28,1,0,1,0,1,0,0,0,0
"hsa-miR-1295b-5p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-1296-5p",47,21,45,12,0,22,31,12,19,15,29,14,117,107,45,13,2,20,112,138,6,42
"hsa-miR-1297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1298-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1301-5p",121,12,19,19,2,8,14,39,34,37,10,40,19,21,20,9,4,52,9,19,4,14
"hsa-miR-1302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1303",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1304-5p",370,12,0,7,0,0,3,17,52,133,0,15,20,3,1,0,0,17,0,0,0,0
"hsa-miR-1305",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0
"hsa-miR-1306-5p",119,21,62,32,7,102,77,26,28,28,98,43,150,183,93,69,8,24,226,134,20,119
"hsa-miR-1307-5p",23769,4868,8485,6227,2177,5684,9853,6643,6621,8050,13718,6682,4423,5149,15538,8308,2141,4494,5615,3450,2562,4064
"hsa-miR-130a-5p",132,115,19,26,48,9,12,64,18,457,21,110,18,10,20,4,51,380,4,20,151,5
"hsa-miR-130b-5p",670,64,71,84,76,32,44,88,147,202,51,190,39,46,94,34,67,238,18,42,120,18
"hsa-miR-132-5p",459,630,466,607,45,183,271,253,173,1605,532,366,181,164,320,377,60,666,171,225,117,159
"hsa-miR-1321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1322",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1323",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-1324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-133a-5p",22,149,114,12,11,334,169,26,102,185,166,12,737,673,152,194,5,120,930,1418,164,425
"hsa-miR-133b",1,27,2,1,1,9,8,8,25,9,11,5,74,62,6,9,2,15,22,63,34,17
"hsa-miR-134-5p",336,1468,217,1053,546,219,230,820,299,1240,177,725,172,208,228,186,573,1430,209,221,975,185
"hsa-miR-1343-5p",12,2,6,3,1,2,10,6,3,3,9,2,12,13,3,2,0,0,11,7,0,2
"hsa-miR-135a-5p",0,0,1,0,0,1,2,2,1,3,0,2,0,0,2,1,0,1,2,3,4,3
"hsa-miR-135b-5p",776,19,0,149,133,0,0,105,118,226,0,424,1,0,0,0,181,612,0,0,352,0
"hsa-miR-136-5p",75,102,1,29,48,3,1,73,17,150,5,48,1,0,1,0,79,223,5,3,143,3
"hsa-miR-137",0,4,0,0,0,0,0,2,0,3,0,2,1,0,0,1,0,3,0,0,1,0
"hsa-miR-138-5p",0,19,2,0,1,1,0,1,0,20,2,0,1,1,6,2,4,17,1,0,5,2
"hsa-miR-139-5p",180,136,671,49,27,1004,670,56,109,319,902,30,1855,966,594,615,11,143,1726,2243,119,1131
"hsa-miR-140-5p",4462,4067,2352,2607,363,1934,2574,3366,2328,6019,3560,3271,2148,1416,3384,1601,353,5112,1512,2500,782,1129
"hsa-miR-141-5p",11149,2693,90,7443,1019,34,40,3710,5606,9344,85,9089,68,50,85,42,2392,10780,37,49,4571,24
"hsa-miR-142-5p",8976,6606,35,2197,4009,25,15,2990,536,18322,33,11238,11,16,48,21,5869,17734,17,28,10052,20
"hsa-miR-143-5p",132427,1569524,9090,409973,48859,9891,7871,465790,543471,365199,7545,406712,42059,51450,10002,9383,180532,1186615,16705,35062,623315,14487
"hsa-miR-144-5p",4292,249,0,188,37,4,0,143,192,1438,1,207,2,1,1,3,69,2368,1,2,150,0
"hsa-miR-145-5p",3981,19949,17717,2811,987,37149,17216,3612,5951,14678,10106,5014,79748,47340,18381,17473,1656,18924,51309,135347,19092,36044
"hsa-miR-1468-5p",46,7,33,4,2,19,29,36,42,37,26,11,25,11,32,18,0,49,22,39,9,18
"hsa-miR-1469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-146a-5p",821,964,86,578,230,15,51,425,149,763,34,2077,25,119,205,39,55,1825,14,46,175,19
"hsa-miR-146b-5p",1554,2709,989,2390,507,298,616,2357,425,7351,861,4760,422,456,1272,485,502,4955,348,345,1032,266
"hsa-miR-1470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-147a",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-147b",5,10,0,15,5,0,0,9,2,25,0,34,3,3,2,2,7,34,0,0,25,2
"hsa-miR-148a-5p",495343,173991,8228,87325,108184,3581,4402,208821,237309,443619,5572,119425,2304,3101,13597,3962,93786,365130,1272,3268,122022,1537
"hsa-miR-148b-5p",2098,296,172,435,222,98,124,427,459,516,126,501,225,122,195,99,187,1109,77,168,570,87
"hsa-miR-149-5p",34,42,97,13,3,143,161,27,11,54,129,8,564,201,215,88,12,45,468,788,28,300
"hsa-miR-150-5p",782,1923,4677,390,1224,2408,5929,938,90,18129,7543,1220,3490,2145,13332,4616,356,3949,3486,9174,352,4311
"hsa-miR-151a-5p",16347,7972,893,14735,1414,407,591,31463,21770,6428,873,8990,763,973,961,475,3325,15537,258,569,3370,220
"hsa-miR-151b",3,1,6,0,3,0,0,10,6,5,3,5,3,3,3,1,0,3,1,2,2,3
"hsa-miR-152-5p",466,881,21,563,179,10,12,800,445,622,13,557,22,29,18,7,197,1569,18,27,373,10
"hsa-miR-153-3p",4,0,0,3,0,0,0,21,5,17,0,3,0,0,0,0,0,16,0,0,4,0
"hsa-miR-153-5p",38,57,0,27,34,0,0,367,79,186,1,141,0,3,2,0,28,179,1,0,121,3
"hsa-miR-1537-5p",2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,0,0,2,0
"hsa-miR-1538",0,2,2,0,0,3,1,0,0,0,5,0,8,6,4,0,0,1,6,5,0,1
"hsa-miR-1539",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0
"hsa-miR-154-5p",15,12,16,2,5,3,8,13,4,42,4,9,4,1,6,3,3,36,3,6,20,2
"hsa-miR-155-5p",208,1365,205,763,111,83,167,1192,640,3838,167,3572,84,116,368,134,381,2481,28,105,325,50
"hsa-miR-1587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-15a-5p",546,322,20,506,61,4,10,548,243,1395,13,674,4,9,26,10,132,1120,1,5,188,6
"hsa-miR-15b-5p",574,409,1762,1144,105,497,760,676,364,1675,1007,1130,1108,716,1207,833,433,1513,487,790,679,399
"hsa-miR-16-5p",2163,831,46,927,1025,13,23,1192,462,3544,36,3237,50,49,98,18,1183,4828,11,20,2629,14
"hsa-miR-17-5p",28974,3012,267,4305,1326,77,139,7761,7836,7069,241,4831,72,109,310,158,1101,9864,74,128,2390,60
"hsa-miR-181a-5p",20287,7311,11541,1985,1753,6351,7605,3003,7049,11966,13188,2890,4453,2928,12050,7478,920,9317,5422,7396,1529,4569
"hsa-miR-181b-5p",5233,959,640,273,198,270,365,445,1588,1495,724,488,154,166,640,417,94,1271,159,289,138,149
"hsa-miR-181c-5p",1148,318,96,103,118,56,56,303,588,282,68,111,59,47,103,47,51,410,47,89,123,29
"hsa-miR-181d-5p",457,57,6,34,28,3,2,156,345,65,10,22,6,3,6,4,4,124,1,8,12,3
"hsa-miR-182-5p",302279,17157,949,58455,22126,408,531,60214,184403,84038,713,34574,299,541,713,501,5795,66106,336,547,20304,339
"hsa-miR-1825",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-183-5p",215646,7828,1651,30834,13772,673,1286,32540,100326,32230,1680,16697,1108,1451,1130,884,3831,31153,388,801,14168,511
"hsa-miR-184",11,1,1,1,0,0,0,3,3,0,1,0,0,7,5,3,0,0,0,1,1,0
"hsa-miR-185-5p",621,287,11,299,21,15,13,273,194,371,22,252,42,19,39,11,52,310,7,19,103,8
"hsa-miR-186-5p",3349,564,172,676,374,51,102,1011,1141,1509,122,1308,95,129,189,58,290,2315,46,104,535,45
"hsa-miR-187-5p",2,2,1,0,1,33,3,1,3,39,1,3,177,29,2,1,11,0,8,16,11,2
"hsa-miR-188-5p",33,3,0,5,10,1,2,30,26,22,0,23,0,1,2,1,32,31,0,0,17,0
"hsa-miR-18a-5p",703,75,11,82,11,1,7,104,92,225,4,218,13,5,26,3,46,262,4,7,77,3
"hsa-miR-18b-5p",4,2,0,2,0,1,0,1,2,0,0,13,1,1,0,0,2,3,3,2,0,2
"hsa-miR-1908-5p",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
"hsa-miR-1909-5p",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"hsa-miR-190a-5p",30,24,1,31,4,0,3,20,35,51,0,18,0,1,0,1,18,64,1,0,13,0
"hsa-miR-190b",2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,3,0,0,0,0
"hsa-miR-191-5p",6917,885,2844,2093,977,635,1259,1486,2121,4571,1308,3290,1011,1118,1851,899,824,6958,468,991,865,480
"hsa-miR-1910-5p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
"hsa-miR-1911-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"hsa-miR-1912",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1913",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1914-5p",1,0,0,0,0,1,0,2,0,0,0,1,2,0,1,0,0,0,3,0,0,0
"hsa-miR-1915-5p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-192-5p",508427,112388,17857,166019,183333,3875,7659,276374,208973,234320,10141,315804,11352,9729,16158,5295,166766,339191,1147,3165,101069,1666
"hsa-miR-193a-5p",263,461,977,615,123,1423,890,1183,694,546,1322,209,1091,1096,1111,1079,165,727,3940,2033,193,1970
"hsa-miR-193b-5p",274,143,258,55,16,229,236,109,47,182,250,54,197,230,438,115,16,253,484,552,60,283
"hsa-miR-194-5p",111058,48708,22288,83388,16714,3971,6129,115761,110339,101585,10406,79585,11043,4663,8726,6300,19349,108693,1683,3693,15875,1792
"hsa-miR-195-5p",50,103,29,17,16,28,27,137,65,326,29,69,18,19,25,16,18,386,31,55,113,27
"hsa-miR-196a-5p",2572,444,110,685,547,34,45,16,3545,387,86,2000,37,46,81,28,428,1766,8,32,755,13
"hsa-miR-196b-5p",29775,1760,1244,2847,13767,239,914,13368,7241,3947,872,8021,219,756,867,371,2681,42655,111,260,5521,134
"hsa-miR-197-5p",3458,684,3433,845,197,4476,5771,707,620,1551,6960,1054,12269,7710,6703,2587,217,1798,9540,10819,585,6443
"hsa-miR-1972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1976",88,25,88,35,5,93,129,33,15,74,159,37,233,80,156,95,2,61,85,87,6,89
